llm_p,llm_q,comparisons
claude-3-5-haiku-20241022,claude-opus-4-20250514-thinking-16k,102
claude-3-5-haiku-20241022,gpt-4.1-mini-2025-04-14,102
claude-3-7-sonnet-20250219-thinking-32k,claude-opus-4-20250514-thinking-16k,102
gemma-3-27b-it,llama-3.3-70b-instruct,102
claude-3-5-haiku-20241022,claude-3-7-sonnet-20250219,102
gpt-4.1-mini-2025-04-14,llama-4-maverick-17b-128e-instruct,101
claude-3-5-haiku-20241022,llama-4-maverick-17b-128e-instruct,101
gemini-2.5-flash-preview-04-17,qwen3-235b-a22b-no-thinking,101
claude-3-5-sonnet-20241022,command-a-03-2025,101
command-a-03-2025,grok-3-mini-beta,101
command-a-03-2025,gpt-4.1-mini-2025-04-14,101
claude-3-5-sonnet-20241022,qwq-32b,101
o3-2025-04-16,qwq-32b,101
amazon.nova-pro-v1:0,minimax-m1,101
gemini-2.5-flash-lite-preview-06-17-thinking,gpt-4.1-2025-04-14,101
claude-sonnet-4-20250514-thinking-32k,o3-mini,101
gemini-2.5-flash-lite-preview-06-17-thinking,gemma-3-27b-it,100
command-a-03-2025,gemma-3-27b-it,100
claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219-thinking-32k,100
claude-3-5-haiku-20241022,claude-3-5-sonnet-20241022,99
deepseek-r1-0528,deepseek-v3-0324,99
amazon-nova-experimental-chat-05-14,claude-sonnet-4-20250514-thinking-32k,99
minimax-m1,o3-mini,99
claude-3-5-sonnet-20241022,claude-opus-4-20250514-thinking-16k,99
amazon-nova-experimental-chat-05-14,qwen3-235b-a22b-no-thinking,99
claude-opus-4-20250514-thinking-16k,qwen3-235b-a22b,99
deepseek-r1-0528,qwen3-30b-a3b,99
claude-3-5-sonnet-20241022,qwen3-30b-a3b,99
claude-3-7-sonnet-20250219,deepseek-v3-0324,99
gemini-2.0-flash-001,gemini-2.5-flash-preview-04-17,99
claude-opus-4-20250514-thinking-16k,qwen3-30b-a3b,98
amazon-nova-experimental-chat-05-14,gemini-2.5-flash,98
gemma-3-27b-it,qwq-32b,98
chatgpt-4o-latest-20250326,deepseek-r1-0528,98
amazon-nova-experimental-chat-05-14,o3-2025-04-16,98
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash-lite-preview-06-17-thinking,97
amazon.nova-pro-v1:0,o4-mini-2025-04-16,97
gemini-2.5-pro,llama-4-scout-17b-16e-instruct,97
deepseek-v3-0324,gemini-2.5-flash-preview-04-17,97
amazon.nova-pro-v1:0,gemini-2.5-flash-preview-04-17,97
amazon.nova-pro-v1:0,gpt-4.1-2025-04-14,97
amazon.nova-pro-v1:0,claude-3-5-haiku-20241022,97
gemini-2.5-flash-preview-04-17,o4-mini-2025-04-16,97
deepseek-v3-0324,gpt-4.1-mini-2025-04-14,97
amazon.nova-pro-v1:0,grok-3-preview-02-24,96
claude-3-5-haiku-20241022,gpt-4.1-2025-04-14,96
gpt-4.1-2025-04-14,grok-3-mini-beta,96
minimax-m1,o4-mini-2025-04-16,96
llama-4-scout-17b-16e-instruct,o3-2025-04-16,96
gemini-2.5-flash-lite-preview-06-17-thinking,mistral-small-3.1-24b-instruct-2503,96
llama-3.3-70b-instruct,o4-mini-2025-04-16,95
claude-sonnet-4-20250514,qwq-32b,95
claude-3-7-sonnet-20250219-thinking-32k,claude-sonnet-4-20250514-thinking-32k,95
gemini-2.5-flash,mistral-small-3.1-24b-instruct-2503,95
gemini-2.0-flash-001,gemini-2.5-pro-preview-03-25,95
gpt-4.1-mini-2025-04-14,qwen3-235b-a22b,95
gpt-4.1-2025-04-14,llama-4-maverick-17b-128e-instruct,95
gemma-3-27b-it,qwen-max-2025-01-25,95
claude-sonnet-4-20250514-thinking-32k,minimax-m1,95
amazon.nova-pro-v1:0,gemma-3-27b-it,95
mistral-medium-2505,qwq-32b,95
gemini-2.0-flash-001,qwq-32b,95
claude-3-7-sonnet-20250219,claude-opus-4-20250514-thinking-16k,95
chatgpt-4o-latest-20250326,claude-sonnet-4-20250514-thinking-32k,95
deepseek-v3-0324,gemini-2.0-flash-001,94
claude-3-5-sonnet-20241022,claude-3-7-sonnet-20250219-thinking-32k,94
claude-3-5-haiku-20241022,command-a-03-2025,94
llama-4-maverick-17b-128e-instruct,qwen3-235b-a22b-no-thinking,94
amazon.nova-pro-v1:0,o3-mini,94
gemini-2.5-flash-lite-preview-06-17-thinking,minimax-m1,94
gemini-2.5-pro,gemini-2.5-pro-preview-05-06,94
gemini-2.5-flash-preview-04-17,o3-mini,93
claude-opus-4-20250514-thinking-16k,gpt-4.1-mini-2025-04-14,93
minimax-m1,qwen3-235b-a22b,93
claude-opus-4-20250514-thinking-16k,mistral-small-3.1-24b-instruct-2503,93
gpt-4.1-2025-04-14,qwen-max-2025-01-25,93
grok-3-mini-beta,grok-3-preview-02-24,93
o4-mini-2025-04-16,qwen3-30b-a3b,93
grok-3-mini-beta,llama-4-maverick-03-26-experimental,93
chatgpt-4o-latest-20250326,minimax-m1,93
deepseek-v3-0324,minimax-m1,93
claude-sonnet-4-20250514-thinking-32k,grok-3-mini-beta,92
claude-sonnet-4-20250514,minimax-m1,92
claude-opus-4-20250514-thinking-16k,grok-3-mini-beta,92
gpt-4.1-mini-2025-04-14,minimax-m1,92
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.0-flash-001,92
chatgpt-4o-latest-20250326,gemini-2.5-flash-lite-preview-06-17-thinking,92
claude-3-5-sonnet-20241022,minimax-m1,92
gemini-2.5-flash-lite-preview-06-17-thinking,llama-4-maverick-03-26-experimental,92
grok-3-preview-02-24,llama-3.3-70b-instruct,91
claude-sonnet-4-20250514-thinking-32k,llama-4-maverick-03-26-experimental,91
gemini-2.5-pro,qwen-max-2025-01-25,91
claude-3-7-sonnet-20250219,qwen3-235b-a22b,91
claude-sonnet-4-20250514-thinking-32k,command-a-03-2025,91
gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,91
deepseek-v3-0324,o4-mini-2025-04-16,90
claude-3-7-sonnet-20250219,gemini-2.5-flash-lite-preview-06-17-thinking,90
command-a-03-2025,gemini-2.5-pro-preview-05-06,90
command-a-03-2025,grok-3-preview-02-24,90
deepseek-r1-0528,gemini-2.5-flash-lite-preview-06-17-thinking,90
claude-3-7-sonnet-20250219,qwen-max-2025-01-25,90
deepseek-v3-0324,llama-4-maverick-17b-128e-instruct,90
grok-3-preview-02-24,minimax-m1,89
claude-opus-4-20250514,claude-sonnet-4-20250514-thinking-32k,89
llama-4-maverick-03-26-experimental,qwen3-30b-a3b,89
claude-3-5-haiku-20241022,minimax-m1,89
gemini-2.5-flash-lite-preview-06-17-thinking,o4-mini-2025-04-16,89
deepseek-v3-0324,llama-4-maverick-03-26-experimental,89
claude-sonnet-4-20250514-thinking-32k,qwen3-30b-a3b,88
gpt-4.1-2025-04-14,minimax-m1,88
minimax-m1,qwen3-30b-a3b,88
gemini-2.5-flash,gemini-2.5-pro-preview-05-06,88
gemini-2.5-flash-lite-preview-06-17-thinking,gpt-4.1-mini-2025-04-14,88
gemini-2.5-flash-preview-04-17,grok-3-preview-02-24,88
claude-sonnet-4-20250514-thinking-32k,gpt-4.1-mini-2025-04-14,88
gemma-3-27b-it,qwen3-30b-a3b,87
claude-3-5-sonnet-20241022,claude-sonnet-4-20250514-thinking-32k,87
claude-3-5-sonnet-20241022,qwen-max-2025-01-25,87
gpt-4.1-2025-04-14,qwen3-30b-a3b,87
gpt-4.1-2025-04-14,llama-4-maverick-03-26-experimental,87
amazon.nova-pro-v1:0,qwen3-235b-a22b,87
gemini-2.5-pro,magistral-medium-2506,87
llama-4-scout-17b-16e-instruct,qwen3-235b-a22b-no-thinking,86
grok-3-mini-beta,llama-3.3-70b-instruct,86
gemini-2.5-pro,gemma-3n-e4b-it,86
claude-opus-4-20250514-thinking-16k,llama-4-maverick-17b-128e-instruct,86
amazon-nova-experimental-chat-05-14,gemini-2.5-flash-lite-preview-06-17-thinking,86
gemini-2.5-flash-preview-04-17,grok-3-mini-beta,85
deepseek-r1-0528,gemini-2.5-flash-preview-04-17,85
qwen-max-2025-01-25,qwen3-235b-a22b-no-thinking,85
gemini-2.5-flash-preview-04-17,llama-3.3-70b-instruct,85
command-a-03-2025,minimax-m1,85
llama-3.3-70b-instruct,o3-mini,84
o3-mini,qwen3-30b-a3b,84
deepseek-r1-0528,gemini-2.5-pro-preview-05-06,84
llama-4-maverick-03-26-experimental,o4-mini-2025-04-16,84
mistral-small-3.1-24b-instruct-2503,o3-2025-04-16,84
gemini-2.5-pro-preview-05-06,qwen3-235b-a22b-no-thinking,84
grok-3-mini-beta,qwen3-30b-a3b,84
gpt-4.1-mini-2025-04-14,llama-4-maverick-03-26-experimental,84
llama-4-scout-17b-16e-instruct,mistral-medium-2505,84
gemini-2.5-flash,magistral-medium-2506,84
claude-opus-4-20250514-thinking-16k,llama-4-scout-17b-16e-instruct,84
llama-4-maverick-03-26-experimental,llama-4-maverick-17b-128e-instruct,83
gpt-4.1-2025-04-14,qwq-32b,83
deepseek-v3-0324,gpt-4.1-2025-04-14,83
claude-sonnet-4-20250514,claude-sonnet-4-20250514-thinking-32k,83
gemini-2.5-flash-lite-preview-06-17-thinking,grok-3-preview-02-24,83
gemini-2.5-flash,gemma-3n-e4b-it,83
qwen3-235b-a22b,qwen3-30b-a3b,83
amazon-nova-experimental-chat-05-14,mistral-medium-2505,83
amazon.nova-pro-v1:0,qwen3-30b-a3b,82
gemini-2.5-flash-preview-04-17,gpt-4.1-2025-04-14,82
claude-3-7-sonnet-20250219-thinking-32k,llama-3.3-70b-instruct,82
gemini-2.5-flash-lite-preview-06-17-thinking,qwen3-30b-a3b,82
grok-3-mini-beta,minimax-m1,82
deepseek-v3-0324,gemini-2.5-flash-lite-preview-06-17-thinking,82
gemini-2.0-flash-001,gpt-4.1-mini-2025-04-14,81
claude-3-7-sonnet-20250219-thinking-32k,llama-4-maverick-17b-128e-instruct,81
chatgpt-4o-latest-20250326,llama-4-maverick-03-26-experimental,81
command-a-03-2025,gemini-2.5-flash-preview-04-17,81
gemini-2.5-flash-preview-04-17,llama-4-maverick-03-26-experimental,81
gemini-2.5-flash-preview-04-17,gpt-4.1-mini-2025-04-14,80
amazon.nova-pro-v1:0,gemini-2.5-pro-preview-05-06,80
command-a-03-2025,gemini-2.5-flash-lite-preview-06-17-thinking,80
gpt-4.1-2025-04-14,qwen3-235b-a22b,80
grok-3-mini-beta,llama-4-maverick-17b-128e-instruct,80
llama-4-scout-17b-16e-instruct,minimax-m1,80
minimax-m1,mistral-small-3.1-24b-instruct-2503,80
gemma-3n-e4b-it,qwen3-235b-a22b-no-thinking,80
deepseek-r1-0528,llama-4-maverick-17b-128e-instruct,80
claude-3-5-haiku-20241022,qwen-max-2025-01-25,80
claude-3-5-haiku-20241022,llama-3.3-70b-instruct,80
command-a-03-2025,llama-3.3-70b-instruct,80
gemini-2.0-flash-001,llama-4-maverick-03-26-experimental,79
command-a-03-2025,qwen3-235b-a22b,79
claude-opus-4-20250514-thinking-16k,gemini-2.0-flash-001,79
gemini-2.5-flash-lite-preview-06-17-thinking,o3-mini,79
claude-3-7-sonnet-20250219,qwq-32b,78
claude-opus-4-20250514-thinking-16k,qwq-32b,78
llama-4-maverick-17b-128e-instruct,qwq-32b,78
amazon-nova-experimental-chat-05-14,minimax-m1,78
amazon.nova-pro-v1:0,llama-3.3-70b-instruct,78
claude-3-7-sonnet-20250219,llama-3.3-70b-instruct,78
claude-3-5-haiku-20241022,qwen3-30b-a3b,78
gemini-2.0-flash-001,qwen3-30b-a3b,78
grok-3-preview-02-24,qwen3-30b-a3b,78
grok-3-preview-02-24,qwen3-235b-a22b,78
claude-3-5-haiku-20241022,qwq-32b,78
deepseek-v3-0324,qwen3-30b-a3b,78
magistral-medium-2506,o3-2025-04-16,77
llama-4-maverick-17b-128e-instruct,minimax-m1,77
gemini-2.5-flash-lite-preview-06-17-thinking,qwen3-235b-a22b,77
llama-4-maverick-03-26-experimental,minimax-m1,77
deepseek-v3-0324,llama-3.3-70b-instruct,77
command-a-03-2025,llama-4-maverick-17b-128e-instruct,77
claude-3-7-sonnet-20250219-thinking-32k,qwen-max-2025-01-25,77
claude-sonnet-4-20250514-thinking-32k,mistral-small-3.1-24b-instruct-2503,76
gpt-4.1-mini-2025-04-14,qwen3-30b-a3b,76
claude-3-5-haiku-20241022,qwen3-235b-a22b,76
gpt-4.1-mini-2025-04-14,llama-3.3-70b-instruct,76
claude-sonnet-4-20250514-thinking-32k,qwen3-235b-a22b,76
claude-opus-4-20250514-thinking-16k,llama-3.3-70b-instruct,76
claude-sonnet-4-20250514-thinking-32k,deepseek-v3-0324,76
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash-preview-04-17,75
gemini-2.5-flash-preview-04-17,qwen3-30b-a3b,75
o3-mini,qwq-32b,75
o4-mini-2025-04-16,qwen3-235b-a22b,75
claude-opus-4-20250514-thinking-16k,qwen-max-2025-01-25,75
grok-3-preview-02-24,llama-4-maverick-03-26-experimental,75
amazon-nova-experimental-chat-05-14,claude-opus-4-20250514,75
amazon.nova-pro-v1:0,gemini-2.5-flash-lite-preview-06-17-thinking,74
gemma-3n-e4b-it,o3-2025-04-16,74
gemma-3n-e4b-it,minimax-m1,74
claude-sonnet-4-20250514-thinking-32k,llama-4-maverick-17b-128e-instruct,74
gemini-2.0-flash-001,minimax-m1,74
deepseek-v3-0324,qwen3-235b-a22b,74
llama-3.3-70b-instruct,llama-4-maverick-17b-128e-instruct,73
gemini-2.5-flash-preview-04-17,qwen3-235b-a22b,73
amazon.nova-pro-v1:0,gemini-2.0-flash-001,73
claude-opus-4-20250514-thinking-16k,gemma-3n-e4b-it,73
gemini-2.5-flash,llama-4-scout-17b-16e-instruct,73
gemini-2.5-pro,mistral-small-2506,72
claude-opus-4-20250514-thinking-16k,magistral-medium-2506,72
qwen-max-2025-01-25,qwen3-30b-a3b,72
gemini-2.5-pro-preview-05-06,gemma-3-27b-it,72
mistral-medium-2505,mistral-small-3.1-24b-instruct-2503,72
amazon-nova-experimental-chat-05-14,claude-opus-4-20250514-thinking-16k,72
claude-sonnet-4-20250514-thinking-32k,grok-3-preview-02-24,72
o3-mini,qwen3-235b-a22b,72
llama-4-maverick-17b-128e-instruct,qwen3-30b-a3b,72
o3-mini,qwen-max-2025-01-25,72
gemini-2.5-pro-preview-05-06,o3-2025-04-16,71
llama-4-maverick-03-26-experimental,qwen3-235b-a22b,71
command-a-03-2025,qwq-32b,71
grok-3-preview-02-24,qwq-32b,71
gpt-4.1-mini-2025-04-14,qwq-32b,70
claude-3-7-sonnet-20250219,gemini-2.5-pro-preview-05-06,70
gemini-2.5-flash-preview-04-17,qwq-32b,70
claude-3-7-sonnet-20250219-thinking-32k,qwq-32b,69
o4-mini-2025-04-16,qwen-max-2025-01-25,69
amazon.nova-pro-v1:0,llama-4-maverick-17b-128e-instruct,69
claude-3-5-sonnet-20241022,gemini-2.5-pro-preview-03-25,69
llama-4-maverick-03-26-experimental,qwen-max-2025-01-25,68
gemini-2.5-flash-lite-preview-06-17-thinking,llama-3.3-70b-instruct,68
grok-3-mini-beta,qwen-max-2025-01-25,68
gemini-2.0-flash-001,qwen3-235b-a22b,68
claude-sonnet-4-20250514-thinking-32k,hunyuan-turbos-20250416,68
grok-3-preview-02-24,qwen-max-2025-01-25,68
deepseek-r1-0528,minimax-m1,68
magistral-medium-2506,minimax-m1,68
gemini-2.5-flash,grok-3-mini-high,68
grok-3-mini-beta,qwen3-235b-a22b,67
command-a-03-2025,qwen-max-2025-01-25,67
deepseek-v3-0324,gemini-2.5-pro-preview-05-06,67
claude-sonnet-4-20250514-thinking-32k,qwen-max-2025-01-25,67
gemini-2.5-flash-preview-04-17,qwen-max-2025-01-25,67
claude-opus-4-20250514-thinking-16k,gemini-2.5-flash-preview-04-17,67
deepseek-r1-0528,gemini-2.0-flash-001,67
claude-sonnet-4-20250514-thinking-32k,gemini-2.0-flash-001,66
deepseek-v3-0324,qwen-max-2025-01-25,66
gemma-3n-e4b-it,mistral-medium-2505,66
deepseek-r1-0528,mistral-small-3.1-24b-instruct-2503,66
llama-3.3-70b-instruct,qwen3-30b-a3b,66
magistral-medium-2506,mistral-medium-2505,65
claude-3-5-haiku-20241022,gemini-2.5-flash-lite-preview-06-17-thinking,65
llama-4-maverick-17b-128e-instruct,qwen3-235b-a22b,65
claude-sonnet-4-20250514-thinking-32k,gpt-4.1-2025-04-14,65
claude-opus-4-20250514-thinking-16k,hunyuan-turbos-20250416,65
claude-sonnet-4-20250514-thinking-32k,gemma-3n-e4b-it,64
gemini-2.5-flash-lite-preview-06-17-thinking,llama-4-maverick-17b-128e-instruct,64
mistral-small-2506,o3-2025-04-16,64
command-a-03-2025,gemini-2.0-flash-001,63
deepseek-r1-0528,qwen-max-2025-01-25,63
amazon-nova-experimental-chat-05-14,claude-3-5-sonnet-20241022,63
gpt-4.1-mini-2025-04-14,qwen-max-2025-01-25,63
claude-opus-4-20250514,gemma-3n-e4b-it,63
claude-opus-4-20250514,llama-4-scout-17b-16e-instruct,63
amazon-nova-experimental-chat-05-14,deepseek-r1-0528,63
claude-3-5-sonnet-20241022,mistral-small-3.1-24b-instruct-2503,62
deepseek-v3-0324,qwq-32b,62
claude-sonnet-4-20250514-thinking-32k,llama-4-scout-17b-16e-instruct,62
deepseek-r1-0528,qwq-32b,62
llama-3.3-70b-instruct,qwq-32b,62
amazon-nova-experimental-chat-05-14,claude-sonnet-4-20250514,62
chatgpt-4o-latest-20250326,gemini-2.5-pro-preview-05-06,62
claude-opus-4-20250514-thinking-16k,gemini-2.5-pro-preview-05-06,62
o4-mini-2025-04-16,qwq-32b,61
claude-sonnet-4-20250514-thinking-32k,grok-3-mini-high,61
llama-3.3-70b-instruct,llama-4-maverick-03-26-experimental,61
claude-opus-4-20250514,mistral-small-3.1-24b-instruct-2503,60
gemini-2.5-flash-lite-preview-06-17-thinking,magistral-medium-2506,60
gemini-2.5-flash,mistral-small-2506,60
gemini-2.5-flash-preview-04-17,minimax-m1,60
gemini-2.5-pro-preview-05-06,o3-mini,60
amazon.nova-pro-v1:0,qwen-max-2025-01-25,60
claude-3-5-haiku-20241022,gemini-2.5-pro-preview-05-06,60
llama-4-maverick-03-26-experimental,qwq-32b,59
llama-4-maverick-17b-128e-instruct,qwen-max-2025-01-25,59
gemini-2.5-flash-lite-preview-06-17-thinking,gemini-2.5-flash-preview-04-17,59
llama-3.3-70b-instruct,qwen-max-2025-01-25,59
amazon-nova-experimental-chat-05-14,chatgpt-4o-latest-20250326,59
llama-3.3-70b-instruct,minimax-m1,59
minimax-m1,qwq-32b,58
gemini-2.5-pro-preview-05-06,gpt-4.1-mini-2025-04-14,58
amazon.nova-pro-v1:0,qwq-32b,58
gemini-2.5-pro,grok-3-mini-high,58
gemini-2.5-flash-lite-preview-06-17-thinking,grok-3-mini-beta,58
qwen3-235b-a22b,qwq-32b,57
claude-sonnet-4-20250514,llama-4-scout-17b-16e-instruct,57
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-pro-preview-05-06,57
qwen-max-2025-01-25,qwq-32b,57
amazon-nova-experimental-chat-05-14,gpt-4.1-2025-04-14,57
gemini-2.5-pro-preview-05-06,qwen3-30b-a3b,57
grok-3-mini-beta,kimi-k2-0711-preview,57
claude-sonnet-4-20250514,gemma-3n-e4b-it,57
grok-3-mini-beta,qwq-32b,57
kimi-k2-0711-preview,llama-4-maverick-03-26-experimental,56
grok-3-preview-02-24,kimi-k2-0711-preview,56
claude-sonnet-4-20250514-thinking-32k,llama-3.3-70b-instruct,56
claude-sonnet-4-20250514,mistral-small-3.1-24b-instruct-2503,56
gemini-2.5-pro,hunyuan-turbos-20250416,56
gemini-2.5-flash-lite-preview-06-17-thinking,kimi-k2-0711-preview,56
gemini-2.5-pro-preview-03-25,llama-3.3-70b-instruct,55
claude-opus-4-20250514,magistral-medium-2506,55
amazon-nova-experimental-chat-05-14,gemma-3-27b-it,55
claude-3-7-sonnet-20250219-thinking-32k,grok-3-mini-high,55
gemma-3-27b-it,magistral-medium-2506,55
grok-3-mini-high,o3-2025-04-16,55
claude-sonnet-4-20250514-thinking-32k,qwq-32b,55
claude-3-5-sonnet-20241022,kimi-k2-0711-preview,55
mistral-small-2506,qwen3-235b-a22b-no-thinking,54
amazon-nova-experimental-chat-05-14,command-a-03-2025,54
kimi-k2-0711-preview,qwen3-235b-a22b-no-thinking,54
grok-3-mini-high,qwen3-235b-a22b-no-thinking,54
kimi-k2-0711-preview,o3-2025-04-16,54
claude-3-7-sonnet-20250219,llama-4-scout-17b-16e-instruct,54
amazon-nova-experimental-chat-05-14,claude-3-7-sonnet-20250219-thinking-32k,53
llama-4-scout-17b-16e-instruct,o3-mini,53
minimax-m1,qwen-max-2025-01-25,53
claude-3-5-haiku-20241022,gemma-3n-e4b-it,53
claude-3-5-sonnet-20241022,grok-3-mini-high,53
command-a-03-2025,grok-3-mini-high,53
gemma-3-27b-it,mistral-small-3.1-24b-instruct-2503,53
kimi-k2-0711-preview,o4-mini-2025-04-16,53
command-a-03-2025,kimi-k2-0711-preview,53
amazon-nova-experimental-chat-05-14,o3-mini,53
kimi-k2-0711-preview,qwen3-30b-a3b,53
chatgpt-4o-latest-20250326,mistral-small-3.1-24b-instruct-2503,52
chatgpt-4o-latest-20250326,grok-3-mini-high,52
kimi-k2-0711-preview,llama-4-scout-17b-16e-instruct,52
hunyuan-turbos-20250416,qwen3-235b-a22b-no-thinking,52
amazon-nova-experimental-chat-05-14,magistral-medium-2506,52
gemini-2.5-pro-preview-05-06,o4-mini-2025-04-16,52
grok-3-mini-high,llama-4-maverick-03-26-experimental,52
gemini-2.5-flash,kimi-k2-0711-preview,52
claude-sonnet-4-20250514,grok-3-mini-high,52
claude-3-7-sonnet-20250219-thinking-32k,mistral-small-3.1-24b-instruct-2503,52
llama-4-maverick-03-26-experimental,mistral-small-3.1-24b-instruct-2503,52
claude-3-7-sonnet-20250219-thinking-32k,gemma-3n-e4b-it,52
claude-3-5-haiku-20241022,grok-3-mini-high,52
llama-4-scout-17b-16e-instruct,mistral-small-2506,51
gemini-2.5-pro,kimi-k2-0711-preview,51
gemini-2.5-flash,hunyuan-turbos-20250416,51
amazon-nova-experimental-chat-05-14,claude-3-7-sonnet-20250219,51
claude-sonnet-4-20250514-thinking-32k,kimi-k2-0711-preview,51
claude-sonnet-4-20250514-thinking-32k,magistral-medium-2506,51
claude-opus-4-20250514,grok-3-mini-high,51
gemma-3-27b-it,llama-4-scout-17b-16e-instruct,51
gpt-4.1-2025-04-14,mistral-small-3.1-24b-instruct-2503,51
llama-4-maverick-17b-128e-instruct,mistral-small-3.1-24b-instruct-2503,50
gemini-2.5-flash-lite-preview-06-17-thinking,llama-4-scout-17b-16e-instruct,50
claude-3-7-sonnet-20250219,mistral-small-3.1-24b-instruct-2503,50
grok-3-mini-high,kimi-k2-0711-preview,50
claude-3-7-sonnet-20250219,gemma-3n-e4b-it,50
claude-3-5-haiku-20241022,kimi-k2-0711-preview,50
grok-4-0709,kimi-k2-0711-preview,50
grok-3-mini-high,mistral-small-3.1-24b-instruct-2503,50
grok-3-mini-high,llama-4-scout-17b-16e-instruct,50
deepseek-r1-0528,llama-4-scout-17b-16e-instruct,50
